#LIBRARY    ENDF/B-VIII.b4
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 2.89E+06    0.974585     Lin-Lin
 2.89006E+06 0.972921     Lin-Lin
 2.89019E+06 0.975398     Lin-Lin
 2.892E+06   1.04587      Lin-Lin
 2.894E+06   1.07143      Lin-Lin
 2.896E+06   1.0832       Lin-Lin
 2.9E+06     1.09511      Lin-Lin
 2.905E+06   1.10318      Lin-Lin
 2.955E+06   1.1505       Lin-Lin
 2.975E+06   1.17561      Lin-Lin
 2.99E+06    1.20101      Lin-Lin
 2.995E+06   1.2126       Lin-Lin
 3E+06       1.22989      Lin-Lin
 3.0025E+06  1.24652      Lin-Lin
 3.0035E+06  1.25848      Lin-Lin
 3.004E+06   1.26628      Lin-Lin
 3.00475E+06 1.28665      Lin-Lin
 3.005E+06   1.29568      Lin-Lin
 3.00562E+06 1.34433      Lin-Lin
 3.00591E+06 1.3691       Lin-Lin
 3.006E+06   1.38336      Lin-Lin
 3.00609E+06 1.40495      Lin-Lin
 3.00631E+06 1.4693       Lin-Lin
 3.00641E+06 1.50065      Lin-Lin
 3.00647E+06 1.52666      Lin-Lin
 3.00652E+06 1.55688      Lin-Lin
 3.00658E+06 1.59134      Lin-Lin
 3.00662E+06 1.63482      Lin-Lin
 3.00668E+06 1.68944      Lin-Lin
 3.00671E+06 1.73943      Lin-Lin
 3.00675E+06 1.79888      Lin-Lin
 3.00679E+06 1.8696       Lin-Lin
 3.00682E+06 1.95332      Lin-Lin
 3.00686E+06 2.05122      Lin-Lin
 3.0069E+06  2.16302      Lin-Lin
 3.00695E+06 2.32832      Lin-Lin
 3.007E+06   2.49565      Lin-Lin
 3.00702E+06 2.57107      Lin-Lin
 3.00705E+06 2.63492      Lin-Lin
 3.00708E+06 2.68241      Lin-Lin
 3.00709E+06 2.70463      Lin-Lin
 3.00711E+06 2.71367      Lin-Lin
 3.00713E+06 2.70842      Lin-Lin
 3.00715E+06 2.6883       Lin-Lin
 3.00717E+06 2.65333      Lin-Lin
 3.00719E+06 2.6041       Lin-Lin
 3.0072E+06  2.56392      Lin-Lin
 3.00722E+06 2.46813      Lin-Lin
 3.00725E+06 2.35594      Lin-Lin
 3.00729E+06 2.16948      Lin-Lin
 3.00734E+06 1.91732      Lin-Lin
 3.00736E+06 1.80066      Lin-Lin
 3.00739E+06 1.69476      Lin-Lin
 3.00741E+06 1.60145      Lin-Lin
 3.00743E+06 1.54021      Lin-Lin
 3.00745E+06 1.48644      Lin-Lin
 3.00747E+06 1.43988      Lin-Lin
 3.00749E+06 1.40007      Lin-Lin
 3.00751E+06 1.36386      Lin-Lin
 3.00753E+06 1.33         Lin-Lin
 3.00755E+06 1.30325      Lin-Lin
 3.00758E+06 1.28224      Lin-Lin
 3.00761E+06 1.26097      Lin-Lin
 3.00766E+06 1.23837      Lin-Lin
 3.00775E+06 1.20716      Lin-Lin
 3.00791E+06 1.16472      Lin-Lin
 3.008E+06   1.14724      Lin-Lin
 3.00807E+06 1.14104      Lin-Lin
 3.00814E+06 1.13959      Lin-Lin
 3.01006E+06 1.18474      Lin-Lin
 3.02E+06    1.23792      Lin-Lin
 3.045E+06   1.30973      Lin-Lin
 3.06E+06    1.35903      Lin-Lin
 3.07E+06    1.39685      Lin-Lin
 3.08E+06    1.43904      Lin-Lin
 3.09E+06    1.48613      Lin-Lin
 3.1E+06     1.53861      Lin-Lin
 3.11E+06    1.59699      Lin-Lin
 3.12E+06    1.66173      Lin-Lin
 3.13E+06    1.73323      Lin-Lin
 3.14E+06    1.81182      Lin-Lin
 3.15E+06    1.89767      Lin-Lin
 3.16E+06    1.99075      Lin-Lin
 3.17E+06    2.09084      Lin-Lin
 3.18E+06    2.19762      Lin-Lin
 3.19E+06    2.31134      Lin-Lin
 3.201E+06   2.45413      Lin-Lin
 3.2045E+06  2.52014      Lin-Lin
 3.206E+06   2.56326      Lin-Lin
 3.207E+06   2.6065       Lin-Lin
 3.208E+06   2.67583      Lin-Lin
 3.20875E+06 2.77023      Lin-Lin
 3.209E+06   2.80683      Lin-Lin
 3.20938E+06 2.89214      Lin-Lin
 3.2095E+06  2.92734      Lin-Lin
 3.20975E+06 3.02013      Lin-Lin
 3.20994E+06 3.09971      Lin-Lin
 3.21006E+06 3.16941      Lin-Lin
 3.21031E+06 3.34452      Lin-Lin
 3.21044E+06 3.44382      Lin-Lin
 3.21053E+06 3.53677      Lin-Lin
 3.21062E+06 3.64896      Lin-Lin
 3.21088E+06 3.98286      Lin-Lin
 3.211E+06   4.16831      Lin-Lin
